"样"	97664793
"小星星"	97554505
"太阳"	96796336
"心安理得"	97179482
"说谎"	96795193
"九日"	96626593
"慢慢（中文版）"	96433856
"慢慢（英文版）"	96423996
"男孩女孩"	96362385
"慢慢"	96354471
"我还是"	96354155
"我还是"	96354155
"不知所措（改版）"	96234318
"你真漂亮"	96255798
"慢慢"	96354471
"会不会（副歌）"	96040540
"巨蟹"	95355433
"大城小爱"	95997404
"爱有双重魔力-吉他版"	95716696
"有幸"	95327695
"女骑士"	95279344
"《我希望是你》（降调版）"	83265920
"《九日翻唱集》第二弹"	95123024
"愿"	95039846
"空白格"	94950903
"奇迹再现"	94690211
"遇到"	94680297
"追光者"	94608716
"开心真giao"	94619780
"情人"	94458712
"囍"	94408794
"猪猪侠"	94334169
"爱一点"	94333814
"想自由"	94141708
"喜欢你"	94048014
"离岸"	94004768
"修炼爱情"	93799893
"怎么了"	93720286
"说爱你"	83855083
"背对背拥抱"	93654079
"小酒窝"	93646911
"信仰"	93477579
"你走"	93473834
"爱有双重魔力"	93363302
"爱，存在"	93321111
"我想念"	93313801
"你一定要幸福"	93205276
"起风了"	93107647
"足够"	92948630
"爱，听不听（hear it）"	92879856
"假装"	92651809
"我想念"	93313801
"BINGBIAN病变"	92567841
"洋葱"	92140146
"曹操"	92414531
"静悄悄"	92413977
"脆弱星球"	92324936
"可不可以"	92262421
"下雨天"	92145859
"拾忆"	91609370
"《九日翻唱集》第一弹"	91282760
"夏天的风"	91277697
"雨过之后"	91265691
"宠坏"	91223574
"未完成的五部曲"	90861695
"改编demo"	89921556
"艾力"	89865791
"Fall into your cage"	89848122
"忧喜参半"	89310558
"心疼你的执着"	89667749
"Slightly sweet"	89625000
"改编demo"	89921556
"坏女孩"	86597688
"东西"	86600704
"我走后"	85583599
"越来越不懂"	85600974
"《怎么了》"	85094302
"《很想她》"	83266413
